[hunt] up to 1.005e+12 | primes=5538627 t1=3116468 t2=1323583 residual=1098576 | 15.9s
[hunt] up to 1.005e+12 | primes=5576269 t1=3137689 t2=1332531 residual=1106049 | 16.0s
[hunt] up to 1.005e+12 | primes=5614284 t1=3159010 t2=1341720 residual=1113554 | 16.1s
[hunt] up to 1.005e+12 | primes=5652380 t1=3180360 t2=1350820 residual=1121200 | 16.2s
[hunt] up to 1.005e+12 | primes=5690543 t1=3201812 t2=1360068 residual=1128663 | 16.3s
[hunt] up to 1.005e+12 | primes=5728514 t1=3223182 t2=1369189 residual=1136143 | 16.4s
[hunt] up to 1.005e+12 | primes=5766298 t1=3244567 t2=1378263 residual=1143468 | 16.5s
[hunt] up to 1.005e+12 | primes=5804177 t1=3265793 t2=1387401 residual=1150983 | 16.6s
[hunt] up to 1.005e+12 | primes=5841910 t1=3286770 t2=1396545 residual=1158595 | 16.7s
[hunt] up to 1.005e+12 | primes=5879766 t1=3308030 t2=1405645 residual=1166091 | 16.9s
[hunt] up to 1.005e+12 | primes=5917750 t1=3329511 t2=1414613 residual=1173626 | 17.0s
[hunt] up to 1.005e+12 | primes=5955467 t1=3350773 t2=1423510 residual=1181184 | 17.1s
[hunt] up to 1.005e+12 | primes=5993430 t1=3372225 t2=1432478 residual=1188727 | 17.2s
[hunt] up to 1.005e+12 | primes=6031474 t1=3393691 t2=1441387 residual=1196396 | 17.3s
[hunt] up to 1.005e+12 | primes=6069621 t1=3415191 t2=1450537 residual=1203893 | 17.4s
[hunt] up to 1.005e+12 | primes=6107590 t1=3436494 t2=1459700 residual=1211396 | 17.5s
[hunt] up to 1.005e+12 | primes=6145605 t1=3457817 t2=1468759 residual=1219029 | 17.6s
[hunt] up to 1.005e+12 | primes=6183476 t1=3479096 t2=1477755 residual=1226625 | 17.7s
[hunt] up to 1.006e+12 | primes=6221611 t1=3500409 t2=1486920 residual=1234282 | 17.8s
[hunt] up to 1.006e+12 | primes=6259373 t1=3521681 t2=1495830 residual=1241862 | 17.9s
[hunt] up to 1.006e+12 | primes=6297494 t1=3543187 t2=1504902 residual=1249405 | 18.0s
[hunt] up to 1.006e+12 | primes=6335490 t1=3564641 t2=1513987 residual=1256862 | 18.2s
[hunt] up to 1.006e+12 | primes=6373389 t1=3586070 t2=1522974 residual=1264345 | 18.3s
[hunt] up to 1.006e+12 | primes=6411217 t1=3607296 t2=1531981 residual=1271940 | 18.4s
[hunt] up to 1.006e+12 | primes=6449099 t1=3628525 t2=1541094 residual=1279480 | 18.5s
[hunt] up to 1.006e+12 | primes=6487175 t1=3649973 t2=1550170 residual=1287032 | 18.6s
[hunt] up to 1.006e+12 | primes=6525237 t1=3671372 t2=1559323 residual=1294542 | 18.7s
[hunt] up to 1.006e+12 | primes=6563200 t1=3692704 t2=1568283 residual=1302213 | 18.8s
[hunt] up to 1.006e+12 | primes=6601071 t1=3714047 t2=1577343 residual=1309681 | 18.9s
[hunt] up to 1.006e+12 | primes=6639146 t1=3735371 t2=1586460 residual=1317315 | 19.0s
[hunt] up to 1.006e+12 | primes=6677045 t1=3756735 t2=1595401 residual=1324909 | 19.1s
[hunt] up to 1.006e+12 | primes=6714930 t1=3777920 t2=1604501 residual=1332509 | 19.2s
[hunt] up to 1.006e+12 | primes=6752634 t1=3799083 t2=1613561 residual=1339990 | 19.3s
[hunt] up to 1.006e+12 | primes=6790650 t1=3820491 t2=1622688 residual=1347471 | 19.5s
[hunt] up to 1.006e+12 | primes=6828611 t1=3841793 t2=1631880 residual=1354938 | 19.6s
[hunt] up to 1.006e+12 | primes=6866614 t1=3862968 t2=1641140 residual=1362506 | 19.7s
[hunt] up to 1.006e+12 | primes=6904692 t1=3884389 t2=1650304 residual=1369999 | 19.8s
[hunt] up to 1.006e+12 | primes=6942293 t1=3905569 t2=1659256 residual=1377468 | 19.9s
[hunt] up to 1.006e+12 | primes=6980140 t1=3926930 t2=1668235 residual=1384975 | 20.0s
[hunt] up to 1.006e+12 | primes=7018312 t1=3948433 t2=1677302 residual=1392577 | 20.1s
[hunt] up to 1.006e+12 | primes=7056332 t1=3969772 t2=1686341 residual=1400219 | 20.2s
[hunt] up to 1.006e+12 | primes=7094430 t1=3991236 t2=1695271 residual=1407923 | 20.3s
[hunt] up to 1.006e+12 | primes=7132409 t1=4012422 t2=1704435 residual=1415552 | 20.4s
[hunt] up to 1.006e+12 | primes=7170171 t1=4033655 t2=1713405 residual=1423111 | 20.5s
[hunt] up to 1.006e+12 | primes=7207941 t1=4054962 t2=1722311 residual=1430668 | 20.6s
[hunt] up to 1.006e+12 | primes=7245971 t1=4076378 t2=1731365 residual=1438228 | 20.8s
[hunt] up to 1.006e+12 | primes=7284010 t1=4097861 t2=1740471 residual=1445678 | 20.9s
[hunt] up to 1.006e+12 | primes=7321869 t1=4119189 t2=1749469 residual=1453211 | 21.0s
[hunt] up to 1.007e+12 | primes=7359657 t1=4140455 t2=1758469 residual=1460733 | 21.1s
[hunt] up to 1.007e+12 | primes=7397752 t1=4161751 t2=1767690 residual=1468311 | 21.2s
[hunt] up to 1.007e+12 | primes=7435577 t1=4182994 t2=1776700 residual=1475883 | 21.3s
[hunt] up to 1.007e+12 | primes=7473322 t1=4204245 t2=1785816 residual=1483261 | 21.4s
[hunt] up to 1.007e+12 | primes=7511153 t1=4225589 t2=1794755 residual=1490809 | 21.5s
