[hunt] up to 1.000e+16 | primes=3870454 t1=2212945 t2=924597 residual=732912 | 12.0s
[hunt] up to 1.000e+16 | primes=3898817 t1=2229133 t2=931439 residual=738245 | 12.1s
[hunt] up to 1.000e+16 | primes=3927373 t1=2245394 t2=938329 residual=743650 | 12.2s
[hunt] up to 1.000e+16 | primes=3955744 t1=2261633 t2=945102 residual=749009 | 12.2s
[hunt] up to 1.000e+16 | primes=3984208 t1=2277811 t2=951955 residual=754442 | 12.3s
[hunt] up to 1.000e+16 | primes=4012455 t1=2293973 t2=958612 residual=759870 | 12.4s
[hunt] up to 1.000e+16 | primes=4040746 t1=2310283 t2=965262 residual=765201 | 12.5s
[hunt] up to 1.000e+16 | primes=4069222 t1=2326558 t2=972178 residual=770486 | 12.6s
[hunt] up to 1.000e+16 | primes=4097647 t1=2342799 t2=979072 residual=775776 | 12.7s
[hunt] up to 1.000e+16 | primes=4126072 t1=2359031 t2=985829 residual=781212 | 12.8s
[hunt] up to 1.000e+16 | primes=4154507 t1=2375287 t2=992659 residual=786561 | 12.9s
[hunt] up to 1.000e+16 | primes=4183035 t1=2391613 t2=999483 residual=791939 | 12.9s
[hunt] up to 1.000e+16 | primes=4211339 t1=2407808 t2=1006166 residual=797365 | 13.0s
[hunt] up to 1.000e+16 | primes=4239970 t1=2424200 t2=1013028 residual=802742 | 13.1s
[hunt] up to 1.000e+16 | primes=4268368 t1=2440252 t2=1019876 residual=808240 | 13.2s
[hunt] up to 1.000e+16 | primes=4296666 t1=2456414 t2=1026723 residual=813529 | 13.3s
[hunt] up to 1.000e+16 | primes=4325026 t1=2472593 t2=1033472 residual=818961 | 13.4s
[hunt] up to 1.000e+16 | primes=4353543 t1=2488818 t2=1040412 residual=824313 | 13.5s
[hunt] up to 1.000e+16 | primes=4382064 t1=2505139 t2=1047238 residual=829687 | 13.6s
[hunt] up to 1.000e+16 | primes=4410727 t1=2521476 t2=1054122 residual=835129 | 13.7s
[hunt] up to 1.000e+16 | primes=4439186 t1=2537751 t2=1060874 residual=840561 | 13.7s
[hunt] up to 1.000e+16 | primes=4467635 t1=2554053 t2=1067669 residual=845913 | 13.8s
[hunt] up to 1.000e+16 | primes=4496277 t1=2570449 t2=1074472 residual=851356 | 13.9s
[hunt] up to 1.000e+16 | primes=4524608 t1=2586605 t2=1081266 residual=856737 | 14.0s
[hunt] up to 1.000e+16 | primes=4553187 t1=2602900 t2=1088110 residual=862177 | 14.1s
[hunt] up to 1.000e+16 | primes=4581676 t1=2619172 t2=1094973 residual=867531 | 14.2s
[hunt] up to 1.000e+16 | primes=4610182 t1=2635538 t2=1101778 residual=872866 | 14.3s
[hunt] up to 1.000e+16 | primes=4638933 t1=2651919 t2=1108678 residual=878336 | 14.4s
[hunt] up to 1.000e+16 | primes=4667437 t1=2668196 t2=1115430 residual=883811 | 14.5s
[hunt] up to 1.000e+16 | primes=4695832 t1=2684429 t2=1122155 residual=889248 | 14.5s
[hunt] up to 1.000e+16 | primes=4724191 t1=2700728 t2=1128900 residual=894563 | 14.6s
[hunt] up to 1.000e+16 | primes=4752616 t1=2717170 t2=1135621 residual=899825 | 14.7s
[hunt] up to 1.000e+16 | primes=4781249 t1=2733578 t2=1142486 residual=905185 | 14.8s
[hunt] up to 1.000e+16 | primes=4809772 t1=2749854 t2=1149395 residual=910523 | 14.9s
[hunt] up to 1.000e+16 | primes=4838037 t1=2766076 t2=1156102 residual=915859 | 15.0s
[hunt] up to 1.000e+16 | primes=4866394 t1=2782149 t2=1162938 residual=921307 | 15.1s
[hunt] up to 1.000e+16 | primes=4894629 t1=2798181 t2=1169793 residual=926655 | 15.2s
[hunt] up to 1.000e+16 | primes=4923167 t1=2814577 t2=1176575 residual=932015 | 15.3s
[hunt] up to 1.000e+16 | primes=4951598 t1=2830904 t2=1183475 residual=937219 | 15.3s
[hunt] up to 1.000e+16 | primes=4980077 t1=2847071 t2=1190300 residual=942706 | 15.4s
