[hunt] up to 1.000e+16 | primes=402792 cert=402791 resid_full=0 resid_partial=1 | 16.2s
[hunt] up to 1.000e+16 | primes=404593 cert=404592 resid_full=0 resid_partial=1 | 16.3s
[hunt] up to 1.000e+16 | primes=406410 cert=406409 resid_full=0 resid_partial=1 | 16.4s
[hunt] up to 1.000e+16 | primes=408173 cert=408172 resid_full=0 resid_partial=1 | 16.4s
[hunt] up to 1.000e+16 | primes=410003 cert=410002 resid_full=0 resid_partial=1 | 16.5s
[hunt] up to 1.000e+16 | primes=411779 cert=411778 resid_full=0 resid_partial=1 | 16.6s
[hunt] up to 1.000e+16 | primes=413547 cert=413546 resid_full=0 resid_partial=1 | 16.7s
[hunt] up to 1.000e+16 | primes=415383 cert=415382 resid_full=0 resid_partial=1 | 16.8s
[hunt] up to 1.000e+16 | primes=417187 cert=417186 resid_full=0 resid_partial=1 | 16.8s
[hunt] up to 1.000e+16 | primes=419043 cert=419042 resid_full=0 resid_partial=1 | 16.9s
[hunt] up to 1.000e+16 | primes=420840 cert=420839 resid_full=0 resid_partial=1 | 17.0s
[hunt] up to 1.000e+16 | primes=422611 cert=422610 resid_full=0 resid_partial=1 | 17.1s
[hunt] up to 1.000e+16 | primes=424323 cert=424322 resid_full=0 resid_partial=1 | 17.1s
[hunt] up to 1.000e+16 | primes=426121 cert=426120 resid_full=0 resid_partial=1 | 17.2s
[hunt] up to 1.000e+16 | primes=427915 cert=427914 resid_full=0 resid_partial=1 | 17.2s
[hunt] up to 1.000e+16 | primes=429704 cert=429703 resid_full=0 resid_partial=1 | 17.3s
[hunt] up to 1.000e+16 | primes=431520 cert=431519 resid_full=0 resid_partial=1 | 17.4s
[hunt] up to 1.000e+16 | primes=433269 cert=433268 resid_full=0 resid_partial=1 | 17.4s
[hunt] up to 1.000e+16 | primes=435044 cert=435043 resid_full=0 resid_partial=1 | 17.5s
[hunt] up to 1.000e+16 | primes=436847 cert=436846 resid_full=0 resid_partial=1 | 17.6s
[hunt] up to 1.000e+16 | primes=438589 cert=438588 resid_full=0 resid_partial=1 | 17.6s
[hunt] up to 1.000e+16 | primes=440361 cert=440360 resid_full=0 resid_partial=1 | 17.7s
[hunt] up to 1.000e+16 | primes=442144 cert=442143 resid_full=0 resid_partial=1 | 17.8s
[hunt] up to 1.000e+16 | primes=443927 cert=443926 resid_full=0 resid_partial=1 | 17.8s
[hunt] up to 1.000e+16 | primes=445781 cert=445780 resid_full=0 resid_partial=1 | 17.9s
[hunt] up to 1.000e+16 | primes=447523 cert=447522 resid_full=0 resid_partial=1 | 17.9s
[hunt] up to 1.000e+16 | primes=449244 cert=449243 resid_full=0 resid_partial=1 | 18.0s
[hunt] up to 1.000e+16 | primes=451052 cert=451051 resid_full=0 resid_partial=1 | 18.1s
[hunt] up to 1.000e+16 | primes=452775 cert=452774 resid_full=0 resid_partial=1 | 18.1s
[hunt] up to 1.000e+16 | primes=454555 cert=454554 resid_full=0 resid_partial=1 | 18.2s
[hunt] up to 1.000e+16 | primes=456291 cert=456290 resid_full=0 resid_partial=1 | 18.3s
[hunt] up to 1.000e+16 | primes=458099 cert=458098 resid_full=0 resid_partial=1 | 18.4s
[hunt] up to 1.000e+16 | primes=459883 cert=459881 resid_full=0 resid_partial=2 | 18.5s
[hunt] up to 1.000e+16 | primes=461678 cert=461676 resid_full=0 resid_partial=2 | 18.5s
[hunt] up to 1.000e+16 | primes=463422 cert=463420 resid_full=0 resid_partial=2 | 18.6s
[hunt] up to 1.000e+16 | primes=465186 cert=465184 resid_full=0 resid_partial=2 | 18.7s
[hunt] up to 1.000e+16 | primes=466920 cert=466918 resid_full=0 resid_partial=2 | 18.8s
[hunt] up to 1.000e+16 | primes=468749 cert=468747 resid_full=0 resid_partial=2 | 18.8s
[hunt] up to 1.000e+16 | primes=470483 cert=470481 resid_full=0 resid_partial=2 | 18.9s
[hunt] up to 1.000e+16 | primes=472290 cert=472288 resid_full=0 resid_partial=2 | 18.9s
[hunt] up to 1.000e+16 | primes=474098 cert=474096 resid_full=0 resid_partial=2 | 19.0s
[hunt] up to 1.000e+16 | primes=475921 cert=475919 resid_full=0 resid_partial=2 | 19.1s
[hunt] up to 1.000e+16 | primes=477745 cert=477743 resid_full=0 resid_partial=2 | 19.2s
[hunt] up to 1.000e+16 | primes=479528 cert=479526 resid_full=0 resid_partial=2 | 19.3s
[hunt] up to 1.000e+16 | primes=481240 cert=481238 resid_full=0 resid_partial=2 | 19.4s
[hunt] up to 1.000e+16 | primes=483040 cert=483038 resid_full=0 resid_partial=2 | 19.4s
[hunt] up to 1.000e+16 | primes=484838 cert=484836 resid_full=0 resid_partial=2 | 19.5s
[hunt] up to 1.000e+16 | primes=486633 cert=486631 resid_full=0 resid_partial=2 | 19.6s
[hunt] up to 1.000e+16 | primes=488405 cert=488403 resid_full=0 resid_partial=2 | 19.6s
[hunt] up to 1.000e+16 | primes=490187 cert=490185 resid_full=0 resid_partial=2 | 19.7s
[hunt] up to 1.000e+16 | primes=491994 cert=491992 resid_full=0 resid_partial=2 | 19.8s
[hunt] up to 1.000e+16 | primes=493743 cert=493741 resid_full=0 resid_partial=2 | 19.9s
[hunt] up to 1.000e+16 | primes=495463 cert=495461 resid_full=0 resid_partial=2 | 20.0s
[hunt] up to 1.000e+16 | primes=497239 cert=497237 resid_full=0 resid_partial=2 | 20.0s
